id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
MENDOZA_CAPITAL,"Capital, Mendoza",ALIANZA CAMBIEMOS,51.04,2.8,9.22,21.57,0.34,2.68,11.46,0.2,0.23,0.21,0.26,35589,1954,6425,15036,235,1869,7989,139,162,145,178,73.74,99182,73134,3.24,0.16,1.26,2372,118,923,MENDOZA
MENDOZA_GENERAL ALVEAR,"General Alvear, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,35.55,5.49,2.31,40.65,0.45,1.5,12.65,0.32,0.14,0.23,0.71,9710,1499,630,11102,124,410,3454,88,39,62,193,76.69,37265,28578,3.4,0.05,0.98,973,14,280,MENDOZA
MENDOZA_GODOY CRUZ,"Godoy Cruz, Mendoza",ALIANZA CAMBIEMOS,41.76,4.31,10.94,25.78,0.31,2.0,14.04,0.28,0.1,0.32,0.17,46588,4803,12208,28756,349,2234,15658,309,106,354,190,76.67,155206,118992,4.48,0.17,1.6,5327,204,1906,MENDOZA
MENDOZA_GUAYMALLEN,"Guaymallen, Mendoza",ALIANZA CAMBIEMOS,37.09,5.02,11.09,28.46,0.5,1.37,15.33,0.28,0.15,0.28,0.43,58396,7910,17458,44812,790,2158,24130,448,232,440,679,76.41,218429,166904,3.74,0.21,1.71,6239,350,2862,MENDOZA
MENDOZA_JUNIN,"Junin, Mendoza",ALIANZA CAMBIEMOS,36.66,8.53,9.59,28.86,0.63,0.99,13.17,0.41,0.21,0.33,0.62,8819,2053,2307,6942,152,239,3167,98,51,79,149,81.19,32172,26119,6.19,0.02,1.68,1618,5,440,MENDOZA
MENDOZA_LA PAZ,"La Paz, Mendoza",ALIANZA CAMBIEMOS,44.76,4.28,2.43,39.02,0.31,0.71,5.58,0.19,0.25,0.14,2.34,2890,276,157,2519,20,46,360,12,16,9,151,80.91,8591,6951,6.37,0.0,0.75,443,0,52,MENDOZA
MENDOZA_LAS HERAS,"Las Heras, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,31.28,4.88,11.46,35.54,0.36,1.12,14.19,0.27,0.15,0.32,0.42,34711,5416,12718,39433,398,1246,15749,299,170,356,468,77.48,152957,118512,4.5,0.19,1.67,5335,228,1985,MENDOZA
MENDOZA_LAVALLE,"Lavalle, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,23.97,3.7,8.87,51.71,0.5,0.48,9.06,0.32,0.13,0.25,1.0,5562,858,2058,11999,117,111,2103,74,31,57,233,81.12,30416,24672,4.89,0.04,1.03,1206,10,253,MENDOZA
MENDOZA_LUJAN DE CUYO,"Lujan, Mendoza",ALIANZA CAMBIEMOS,39.43,4.78,10.84,27.76,0.42,1.58,13.74,0.44,0.16,0.44,0.4,28503,3457,7833,20066,303,1145,9933,317,119,321,287,79.36,96021,76198,3.35,0.09,1.7,2551,70,1293,MENDOZA
MENDOZA_MAIPU,"Maipu, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,31.01,6.71,11.4,34.25,0.43,0.89,13.99,0.31,0.15,0.24,0.63,31024,6716,11403,34265,434,886,13992,306,153,244,627,80.03,133498,106834,4.6,0.13,1.62,4910,140,1734,MENDOZA
MENDOZA_MALARGÜE,"Malargüe, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,35.71,4.05,3.86,38.01,0.94,1.55,13.99,0.92,0.33,0.24,0.42,5463,620,590,5815,144,237,2140,140,50,36,64,72.31,22320,16140,3.73,0.06,1.43,602,9,230,MENDOZA
MENDOZA_RIVADAVIA,"Rivadavia, Mendoza",ALIANZA CAMBIEMOS,38.4,6.67,7.25,31.56,0.49,1.49,12.39,0.33,0.21,0.28,0.94,12152,2111,2294,9987,155,472,3920,104,65,89,299,79.2,42808,33906,5.43,0.04,1.19,1841,15,402,MENDOZA
MENDOZA_SAN CARLOS,"San Carlos, Mendoza",ALIANZA CAMBIEMOS,34.1,4.87,6.33,31.92,0.91,1.15,19.31,0.29,0.3,0.22,0.61,5841,834,1085,5468,156,197,3307,49,51,37,105,75.75,24125,18275,5.12,0.07,1.08,935,13,197,MENDOZA
MENDOZA_SAN MARTIN,"San Martin, Mendoza",ALIANZA FRENTE PARA LA VICTORIA,30.98,8.8,7.68,38.0,0.36,0.87,12.18,0.32,0.15,0.25,0.43,21068,5985,5220,25838,242,590,8280,216,100,170,294,78.28,91278,71451,3.36,0.06,1.4,2404,46,998,MENDOZA
