id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
BUENOS AIRES_ADOLFO ALSINA,"Adolfo Alsina, Buenos Aires",Alianza Frente para la Victoria,3.57,12.61,20.66,0.79,38.42,22.73,1.21,380,1341,2197,84,4086,2417,129,79.84,13848,11056,3.35,0.02,0.45,370,2,50,BUENOS AIRES
BUENOS AIRES_ALBERTI,"Alberti, Buenos Aires",Alianza Frente para la Victoria,4.31,13.29,3.97,1.1,49.66,26.51,1.17,295,910,272,75,3401,1816,80,86.35,8420,7271,5.74,0.0,0.07,417,0,5,BUENOS AIRES
BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",Alianza Frente para la Victoria,5.97,11.83,6.82,3.11,64.38,6.46,1.43,17733,35164,20282,9245,191382,19207,4264,84.35,365513,308318,2.87,0.07,0.64,8858,202,1981,BUENOS AIRES
BUENOS AIRES_ARRECIFES,"Arrecifes, Buenos Aires",Alianza Frente para la Victoria,7.96,21.03,4.73,1.01,52.3,11.82,1.16,1406,3715,835,178,9241,2089,205,84.18,21700,18266,2.93,0.01,0.33,535,2,60,BUENOS AIRES
BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",Alianza Frente para la Victoria,7.5,16.33,6.48,3.69,54.61,9.59,1.8,15477,33671,13355,7614,112623,19780,3718,81.46,261230,212795,2.45,0.08,0.55,5221,160,1176,BUENOS AIRES
BUENOS AIRES_AYACUCHO,"Ayacucho, Buenos Aires",Alianza Frente para la Victoria,3.86,14.22,2.82,1.38,52.08,24.17,1.47,496,1825,362,177,6684,3102,189,86.42,15867,13712,5.97,0.09,0.34,818,12,47,BUENOS AIRES
BUENOS AIRES_AZUL,"Azul, Buenos Aires",Alianza Frente para la Victoria,5.96,26.85,5.47,1.97,50.09,7.07,2.59,2369,10668,2174,781,19903,2808,1029,81.71,50984,41660,3.77,0.01,0.84,1572,5,351,BUENOS AIRES
BUENOS AIRES_BAHIA BLANCA,"Bahia Blanca, Buenos Aires",Alianza Frente para la Victoria,11.25,19.0,5.7,4.13,45.71,11.31,2.9,18798,31762,9528,6899,76405,18914,4853,78.46,223661,175484,3.7,0.03,1.01,6496,59,1770,BUENOS AIRES
BUENOS AIRES_BALCARCE,"Balcarce, Buenos Aires",Alianza Frente para la Victoria,8.99,20.58,8.06,1.69,45.2,13.62,1.85,2487,5697,2232,468,12512,3770,513,80.97,35648,28864,3.49,0.02,0.6,1006,7,172,BUENOS AIRES
BUENOS AIRES_BARADERO,"Baradero, Buenos Aires",Alianza Frente para la Victoria,6.23,21.77,3.35,1.4,51.76,10.07,5.42,1201,4201,647,270,9986,1943,1045,82.87,24319,20152,3.61,0.02,0.64,727,4,128,BUENOS AIRES
BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",Alianza Frente para la Victoria,6.35,10.9,6.76,3.34,63.43,7.75,1.47,11120,19090,11851,5849,111123,13584,2569,86.06,211826,182287,3.37,0.03,0.49,6151,54,896,BUENOS AIRES
BUENOS AIRES_BERISSO,"Berisso, Buenos Aires",Alianza Frente para la Victoria,9.47,14.04,9.27,3.47,51.73,10.21,1.81,5135,7611,5025,1882,28040,5535,979,82.12,68989,56651,3.72,0.05,0.55,2106,29,309,BUENOS AIRES
BUENOS AIRES_BOLIVAR,"Bolivar, Buenos Aires",Alianza Frente para la Victoria,6.41,12.86,6.47,0.96,46.21,25.19,1.9,1383,2776,1396,207,9976,5438,411,85.16,26958,22958,5.62,0.08,0.27,1291,19,61,BUENOS AIRES
BUENOS AIRES_BRAGADO,"Bragado, Buenos Aires",Alianza Frente para la Victoria,5.67,14.32,6.24,1.25,53.15,18.13,1.24,1517,3832,1670,334,14221,4850,332,82.59,33851,27956,3.63,0.02,0.64,1016,5,179,BUENOS AIRES
BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",Alianza Frente para la Victoria,6.2,10.9,6.24,1.4,53.9,20.2,1.17,915,1609,921,207,7956,2981,172,85.62,18141,15532,4.29,0.03,0.65,666,4,101,BUENOS AIRES
BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",Alianza Frente para la Victoria,9.3,14.98,4.65,2.52,56.07,10.7,1.78,4924,7936,2465,1334,29702,5669,943,85.35,64651,55177,3.28,0.05,0.66,1812,27,365,BUENOS AIRES
