id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
BUENOS AIRES_ADOLFO ALSINA,"Adolfo Alsina, Buenos Aires",ALIANZA CAMBIEMOS,50.58,0.85,1.28,28.0,2.42,16.86,5093,86,129,2820,244,1698,79.26,13189,10454,3.47,0.0,0.2,363,0,21,BUENOS AIRES
BUENOS AIRES_ALBERTI,"Alberti, Buenos Aires",ALIANZA CAMBIEMOS,42.36,0.83,1.59,38.0,1.97,15.25,3120,61,117,2799,145,1123,85.72,8859,7594,2.96,0.01,0.04,225,1,3,BUENOS AIRES
BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,26.44,1.02,4.68,42.96,2.89,22.01,85736,3317,15167,139341,9388,71369,79.79,419609,334826,2.3,0.07,0.77,7691,233,2584,BUENOS AIRES
BUENOS AIRES_ARRECIFES,"Arrecifes, Buenos Aires",ALIANZA CAMBIEMOS,39.83,0.96,1.58,33.9,2.83,20.9,7825,189,310,6659,555,4106,84.61,24018,20322,3.12,0.01,0.2,635,2,41,BUENOS AIRES
BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,33.08,0.75,4.29,39.08,3.29,19.51,72078,1634,9351,85151,7161,42503,76.86,289664,222642,1.63,0.06,0.45,3632,135,997,BUENOS AIRES
BUENOS AIRES_AYACUCHO,"Ayacucho, Buenos Aires",ALIANZA CAMBIEMOS,43.75,1.19,2.9,33.33,2.56,16.26,5383,147,357,4101,315,2001,83.6,15595,13037,5.23,0.08,0.31,682,10,41,BUENOS AIRES
BUENOS AIRES_AZUL,"Azul, Buenos Aires",ALIANZA CAMBIEMOS,39.11,0.99,2.45,31.22,5.43,20.8,15948,404,997,12730,2214,8481,78.84,53978,42558,3.32,0.02,0.85,1411,10,363,BUENOS AIRES
BUENOS AIRES_BAHIA BLANCA,"Bahia Blanca, Buenos Aires",ALIANZA CAMBIEMOS,45.12,1.31,4.84,23.96,4.68,20.08,79469,2316,8527,42199,8247,35369,77.25,235463,181891,2.15,0.06,0.96,3908,104,1752,BUENOS AIRES
BUENOS AIRES_BALCARCE,"Balcarce, Buenos Aires",ALIANZA CAMBIEMOS,46.67,1.49,1.86,26.17,1.61,22.2,13209,423,526,7408,455,6283,81.85,35567,29110,2.36,0.01,0.4,686,4,116,BUENOS AIRES
BUENOS AIRES_BARADERO,"Baradero, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,33.24,0.9,2.78,38.6,1.56,22.92,6994,189,584,8121,328,4823,82.69,26387,21819,3.07,0.02,0.49,670,4,106,BUENOS AIRES
BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,25.47,0.99,4.48,42.86,2.65,23.55,49341,1912,8671,83029,5137,45621,81.39,245757,200029,2.72,0.03,0.41,5439,63,816,BUENOS AIRES
BUENOS AIRES_BERISSO,"Berisso, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,31.35,1.06,5.05,35.29,3.16,24.09,18232,617,2939,20525,1835,14011,80.81,74815,60458,3.14,0.19,0.48,1897,114,288,BUENOS AIRES
BUENOS AIRES_BOLIVAR,"Bolivar, Buenos Aires",ALIANZA CAMBIEMOS,42.61,1.16,1.84,34.88,2.02,17.5,9993,271,431,8179,473,4105,82.15,29450,24194,2.56,0.1,0.41,619,25,98,BUENOS AIRES
BUENOS AIRES_BRAGADO,"Bragado, Buenos Aires",ALIANZA CAMBIEMOS,44.15,1.13,1.69,36.91,1.71,14.41,12478,319,477,10434,483,4074,83.54,34850,29115,2.09,0.03,0.8,608,8,234,BUENOS AIRES
BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",ALIANZA CAMBIEMOS,41.89,0.91,2.33,36.78,1.55,16.54,6878,149,382,6039,255,2715,83.41,20935,17461,5.06,0.13,0.78,883,23,137,BUENOS AIRES
BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",ALIANZA CAMBIEMOS,38.64,1.01,3.39,33.12,2.19,21.65,22238,584,1954,19062,1258,12460,82.76,71839,59457,2.47,0.08,0.65,1470,46,385,BUENOS AIRES
BUENOS AIRES_CAPITAN SARMIENTO,"Capitan Sarmiento, Buenos Aires",ALIANZA CAMBIEMOS,38.71,1.05,1.67,30.14,5.07,23.36,3533,96,152,2751,463,2132,82.45,11654,9609,4.55,0.1,0.36,437,10,35,BUENOS AIRES
BUENOS AIRES_CARLOS CASARES,"Carlos Casares, Buenos Aires",ALIANZA CAMBIEMOS,43.65,1.1,2.38,32.72,2.14,18.0,6379,161,348,4782,312,2631,82.09,18383,15091,2.98,0.05,0.14,449,8,21,BUENOS AIRES
BUENOS AIRES_CARLOS TEJEDOR,"Carlos Tejedor, Buenos Aires",ALIANZA CAMBIEMOS,45.6,0.68,1.6,38.69,1.13,12.31,3886,58,136,3297,96,1049,89.01,9841,8759,2.39,0.03,0.29,209,3,25,BUENOS AIRES
BUENOS AIRES_CARMEN DE ARECO,"Carmen De Areco, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,37.6,0.71,1.16,42.79,0.93,16.8,3746,71,116,4264,93,1674,83.74,12471,10443,4.37,0.03,0.19,456,3,20,BUENOS AIRES
BUENOS AIRES_CASTELLI,"Castelli, Buenos Aires",ALIANZA CAMBIEMOS,41.36,0.89,1.37,41.08,1.67,13.63,2357,51,78,2341,95,777,83.96,7007,5883,2.84,0.0,0.29,167,0,17,BUENOS AIRES
BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,30.81,0.94,3.54,41.14,1.81,21.75,9820,301,1129,13109,578,6931,81.77,40093,32783,2.04,0.06,0.69,669,21,225,BUENOS AIRES
BUENOS AIRES_CHACABUCO,"Chacabuco, Buenos Aires",ALIANZA CAMBIEMOS,38.72,1.26,2.15,38.47,2.33,17.07,12510,407,695,12428,754,5515,84.0,39557,33227,2.12,0.06,0.57,706,21,191,BUENOS AIRES
BUENOS AIRES_CHASCOMUS,"Chascomus, Buenos Aires",ALIANZA CAMBIEMOS,41.93,0.97,2.36,27.38,3.18,24.18,10428,242,587,6808,791,6013,83.09,31018,25774,3.33,0.02,0.16,857,6,42,BUENOS AIRES
BUENOS AIRES_CHIVILCOY,"Chivilcoy, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,27.94,0.69,2.82,39.18,1.76,27.6,12675,312,1279,17772,799,12520,84.24,55421,46685,2.41,0.06,0.37,1127,28,173,BUENOS AIRES
